Kiosk ID,Kiosk Name,Region ,Status
4451,Melbourne & Vermont,DTLA,Active
4452,Hillhurst & Kingswell,DTLA,Active
4453,Lucile & Hoover,DTLA,Active
4454,Vermont & Exposition,DTLA,Active
4455,Rowena & Hyperion,DTLA,Active
4456,Ardmore & Olympic,DTLA,Active
4457,Hollywood & Rodney,DTLA,Active
4458,Culver & Centinela,Westside,Inactive
4459,Culver & McConnell,Westside,Inactive
4460,Culver & Inglewood,Westside,Inactive
4461,Rose & Overland,Westside,Inactive
4462,Overland & Charnock,Westside,Inactive
4463,Tujunga & Hatteras,North Hollywood,Inactive
4469,Playa Vista Library,Westside,Inactive
4470,McConnell & Runway,Westside,Inactive
4472,Santa Monica & Sunset,DTLA,Active
4473,Vendome & Beverly,DTLA,Active
4474,Ambrose & Hillhurst,DTLA,Active
4475,San Pedro & Winston,DTLA,Active
4476,Sunset & Silver Lake,DTLA,Active
4477,Yucca & Argyle,DTLA,Active
4478,Tracy & Hyperion,DTLA,Active
4479,Ellendale Pl & Adams,DTLA,Active
4480,Figueroa Plaza,DTLA,Inactive
4482,Wilcox & Fountain,DTLA,Active
4483,Glendale & Silver Lake,DTLA,Active
4484,Campus Center Drive,Westside,Inactive
4486,Vista Hermosa Park,DTLA,Active
4487,Broxton & Weyburn,Westside,Active
4490,Figueroa & 4th,DTLA,Active
4491,Main & Winston,DTLA,Active
4492,Westwood/Rancho Park E Line Station,Westside,Active
4493,Sunset Triangle Plaza,DTLA,Active
4494,Laveta Terrace & Sunset,DTLA,Active
4496,Concert Park,Westside,Inactive
4497,Riverside & Laurel Canyon,North Hollywood,Inactive
4498,Vineland & Oxnard,North Hollywood,Inactive
4499,Victory & Colfax,North Hollywood,Inactive
4500,Burbank & Cahuenga,North Hollywood,Inactive
4502,North Hollywood Plaza,North Hollywood,Inactive
4503,Stanford & Washington,Westside,Inactive
4504,Vista Del Mar & Culver,Westside,Inactive
4505,Glen Alla Park,Westside,Inactive
4508,Ciclavia South Central Hub,DTLA,Inactive
4509,Western & Hollywood,DTLA,Active
4510,Mohawk Bend,DTLA,Active
4511,Union Station East Portal,DTLA,Active
4512,Figueroa & 11th,DTLA,Active
4513,Edgemont & Melrose,DTLA,Inactive
4515,Mississippi & Sawtelle,Westside,Inactive
4516,7th & Hill,DTLA,Inactive
4517,Highland & Hollywood,DTLA,Active
4518,Normandie & 8th,DTLA,Active
4521,Inglewood & Ballona,Westside,Active
4523,Western & 3rd,DTLA,Active
4524,Wilshire & Normandie,DTLA,Active
4525,Hawthorn & Orange,DTLA,Active
4526,Franklin & Fuller,DTLA,Active
4527,McCadden & Hollywood,DTLA,Active
4528,Glendon & Kinross,DTLA,Active
4529,Whitley & Hollywood,DTLA,Active
4534,Ivar & Hollywood,DTLA,Active
4536,Venice & Abbot Kinney,Westside,Active
4537,Highland & Sunset,DTLA,Active
4538,5th & Western,DTLA,Active
4539,Cherokee & Hollywood,DTLA,Inactive
4540,1st & Utah,DTLA,Active
4541,Glen Alla Park,Westside,Inactive
4542,Concert Park,Westside,Inactive
4543,Toes Beach at Culver Blvd,Westside,Active
4544,Dockweiler Beach at Imperial Hwy,Westside,Active
4545,Vista Del Mar & Culver,Westside,Active
4546,Expo/Bundy E Line Station,Westside,Active
4547,Stanford & Washington,Westside,Active
4548,Durango & Venice,Westside,Active
4549,Barrington & National,Westside,Active
4552,Culver & Centinela,Westside,Active
4553,Venice & Beethoven,Westside,Active
4554,Venice & Colonial,Westside,Active
4555,Venice & Inglewood,Westside,Active
4556,McLaughlin & Venice,Westside,Active
4557,Venice & Sawtelle,Westside,Active
4558,Bagley & Venice,Westside,Active
4559,Palms & Kelton,Westside,Inactive
4560,Sepulveda & Charnock,Westside,Inactive
4561,Sepulveda & Palms,Westside,Active
4562,Sepulveda & National,Westside,Active
4563,Venice & Glendon,Westside,Active
4564,Expo/Sepulveda E Line Station,Westside,Active
4565,Alla & Maxella,Westside,Active
4566,Venice & Hughes,Westside,Active
4567,Venice & Motor,Westside,Active
4568,Palms E Line Station,Westside,Active
4569,Palms & Motor,Westside,Active
4570,Sepulveda & Venice,Westside,Active
4571,Rose & Overland,Westside,Active
4572,National & Motor,Westside,Active
4573,Westwood & National,Westside,Active
4575,Lucerne & Sepulveda,Westside,Active
4576,Motor & Regent,Westside,Active
4577,Inglewood & Braddock,Westside,Active
4578,Main & 8th,DTLA,Active
4579,Alla & Glencoe,Westside,Active
4580,Centinela & Lucile,Westside,Active
4581,Playa Vista Library,Westside,Active
4582,Westlawn & Beatrice,Westside,Inactive
4583,McConnell & Runway,Westside,Active
4584,Fountain & Vine,DTLA,Active
4587,Wiltern,DTLA,Active
4592,CicLAvia–Heart of LA presented by Metro,DTLA,Inactive
4593,CicLAvia South LA - Crenshaw Hub,DTLA,Inactive
4594,CicLAvia South LA - Expo Park Hub,DTLA,Inactive
4595,Chandler & Colfax,North Hollywood,Active
4596,Chandler & Laurel Canyon,North Hollywood,Active
4597,Magnolia & Clybourn,North Hollywood,Active
4598,North Hollywood Plaza,North Hollywood,Active
4599,Chandler & Cahuenga,North Hollywood,Active
4600,Lankershim & Califa,North Hollywood,Active
4601,Lankershim & Hesby,North Hollywood,Active
4602,Magnolia & Cartwright,North Hollywood,Inactive
4603,Riverside & Cahuenga,North Hollywood,Active
4604,Lankershim & Vineland,North Hollywood,Active
